,id,sensor1,sensor2,sensor3,sensor4
count,300.0,300.0,300.0,300.0,300.0
mean,195072.12,0.20386440934333336,0.19668486514666664,0.1987446959866667,0.20208770629333334
std,133924.9218235491,0.13014777166967328,0.20309640064420714,0.21834828894952804,0.12648133831167302
min,14.0,0.013153334,0.004467888,0.004945528,0.005243774
25%,68315.25,0.1077190015,0.05963917775,0.043634199,0.1055375465
50%,195907.5,0.178132618,0.138402065,0.11508581749999999,0.182516277
75%,341503.0,0.28105484925,0.25493789975000003,0.2532719,0.2785106385
max,396768.0,0.718866378,0.949299698,0.962167929,0.566642388
